actorId,actorName
911,Christian Rub
912,Graham Greene
913,Nic Ratner
914,Mike Barbour
915,Robby Benson
916,Hind Sabri
917,Eddie Murphy
918,Raymond J. Barry
919,James Spader
920,Mary Astor
921,Kerry Fox
922,Jean-Hugues Anglade
923,Binnie Barnes
924,Polly Draper
925,Xiaoxiao Wang
926,Ross Malinger
927,Christina Vidal
928,Kate Winslet
929,Madeleine Stowe
930,Blythe Danner
931,John Hannah
932,Bridget Fonda
933,Lothaire Bluteau
934,Kristy Swanson
935,James Cosmo
936,Leo Carrillo
937,Henry Jaglom
938,Rick Aviles
939,Marco Hofschneider
940,James Andronica
941,John C. Reilly
942,Tony Todd
943,Samantha Mathis
944,Jennifer Taylor
945,C. Aubrey Smith
946,Stefano Dionisi
947,Marthe Villalonga
948,Mimi Rogers
949,Simone Signoret
950,Kirsten Dunst
951,Ellen Barkin
952,Sherilyn Fenn
953,Ariane Schluter
954,Dana Andrews
955,Aleksandr Kaydanovskiy
956,Paul Newman
957,Bonnie Hunt
958,Baotian Li
959,Sylvia Roemer
960,Alice Krige
961,Anne Archer
962,Frances Dee
963,Isa Danieli
964,William Sanderson
965,Paolo Villaggio
966,Reese Witherspoon
967,Woody Allen
968,Phil Hartman
969,Josep Maria Flotats
970,Alida Valli
971,Rosalind Russell
972,Erich Anderson
973,Roger Rees
974,Rachael Crawford
975,Naomi Watts
976,Wendell Holmes
977,Pawan Malhotra
978,Valerie Mahaffey
979,Al Pacino
980,Phylicia Rashad
981,Rafal Synówka
982,Robin Givens
983,Carmen Maura
984,Anjelica Huston
985,Shawn Wayans
986,George C. Scott
987,Joaquin Phoenix
988,J.T. Walsh
989,William Hurt
990,Mel Brooks
991,Natasha Richardson
992,Albert Brooks
993,Fairuza Balk
994,Ned Dowd
995,Jerry Barone
996,Peter Riegert
997,Ulrich Mühe
998,Brian Cox
999,Helena Solberg
1000,André Eisermann
1001,Stellan Skarsgård
1002,Peter Dobson
1003,Kevin Michael Richardson
1004,Audrey Hepburn
1005,Cynthia Rothrock
1006,James Carville
1007,Arthur Agee
1008,Spike Lee
1009,Corbin Bernsen
1010,Eiko Matsuda
1011,Tim Curry
1012,Felicitas Grimm-Luck
1013,Norma Shearer
1014,Lisa Dean Ryan
1015,James Rebhorn
1016,Nicollette Sheridan
1017,Cher
1018,Rosemary Harris
1019,Burl Ives
1020,Herb Caen
1021,Tim Allen
1022,Michael Richards
1023,Danny Elfman
1024,Lena Headey
1025,Mel Blanc
1026,Oleg Menshikov
1027,Lou Diamond Phillips
1028,Ralph Waite
1029,Jean Arthur
1030,Sab Shimono
1031,Subir Banerjee
1032,Vincent Cassel
1033,Chris Eigeman
1034,Trini Alvarado
1035,Cuba Gooding Jr.
1036,Jonathan Banks
1037,Isaac Stern
1038,Iris Berben
1039,Nicholas Turturro
1040,Eric Roberts
1041,Joaquim de Almeida
1042,Bill Hunter
1043,Craig Sheffer
1044,James Woods
1045,Jason Scott Lee
1046,Sabine Azéma
1047,Christopher Plummer
1048,Lena Olin
1049,Pamela Blair
1050,Macaulay Culkin
1051,Mia Farrow
1052,Richard Romanus
1053,Linda Hunt
1054,Billy West
1055,Nicolas Cage
1056,Carlo Cecchi
1057,Jf Davis
1058,Cynda Williams
1059,Katja Riemann
1060,Gwyneth Paltrow
1061,Jeffrey Combs
1062,Glenn Close
1063,Francis Capra
1064,Esai Morales
1065,Kristin Scott Thomas
1066,Joanna Lumley
1067,Haley Joel Osment
1068,Karen Sillas
1069,Cary-Hiroyuki Tagawa
1070,Robin Tunney
1071,Sarah Peirse
1072,Tom Cruise
1073,Catherine Keener
1074,Eva Gabor
1075,Jacqueline McKenzie
1076,Ted Danson
1077,Matthew Lillard
1078,Daolin Sun
1079,Kyra Sedgwick
1080,Justin Fletcher
1081,Wenli Jiang
1082,Johnny Morina
1083,Pauly Shore
1084,Tom Guiry
1085,Joseph Cotten
1086,Tom Arnold
1087,Shirley Temple
1088,Cameron Diaz
1089,Debbie Reynolds
1090,Andie MacDowell
1091,Robin Shou
1092,Ronnie Davis
1093,Jeremy London
1094,Julia Ormond
1095,Jodie Foster
1096,Tony Shalhoub
1097,Lynn Whitfield
1098,Regina King
1099,Bette Davis
1100,Stefania Sandrelli
1101,Marisa Tomei
1102,Zbigniew Zamachowski
1103,Aida Mohammadkhani
1104,James Gammon
1105,Michael Chekhov
1106,Jason Alexander
1107,Jean Sorel
1108,Joey Travolta
1109,Christine Lahti
1110,Dianne Wiest
1111,Diane Keaton
1112,Mira Sorvino
1113,Liesel Matthews
1114,Afrika Bambaataa
1115,George Tabori
1116,Michael Gunther
1117,Evelyn Daw
1118,Madeline Kahn
1119,Mark Wahlberg
1120,Martin Donovan
1121,Hedy Lamarr
1122,Jean Reno
1123,Sean Connery
1124,Amanda Plummer
1125,Anne Reid
1126,Pascale Bussières
1127,Jennifer Saunders
1128,Martin Short
1129,Tara Fitzgerald
